model,num_folds,test_rmse,test_mae,test_r2,num_trades,net_pnl,sharpe_annualized,hit_rate,turnover,long_trades,short_trades,signal_realized_corr,edge_sign_accuracy,max_drawdown,dm_stat_vs_persistence,dm_p_value_vs_persistence,seq_len,horizon
mlp_baseline,4,0.0523876100778579,0.0351578295230865,0.3261972314972624,8737,39.498077230743235,49.291736352224525,0.4620579146160009,0.6194696539988656,3687,5050,0.7232055283594113,0.7724619434588531,-0.0442821810126119,-28.828582909419517,0.0,6,1
ar1_per_grid,4,0.0588195547461509,0.0382093079388141,0.1505866080309073,6301,26.699834729468392,35.35975002876129,0.3923186795746707,0.4467526942711287,925,5376,0.6572833323455101,0.7160768132042533,-0.0526922119144899,-30.709009934503555,0.0,6,1
factor_ar_var,4,0.0590960234349801,0.0386873271120768,0.1425828689376965,7020,25.678783064516672,33.485052453533925,0.3434472934472934,0.4977311401020987,528,6492,0.642790648400247,0.7092592592592593,-0.0526922119144899,-31.77989306704775,0.0,6,1
persistence,4,0.0681630074977874,0.0407979041337966,-0.1407042696249252,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,6,1
garch_baseline,4,0.0744953082266556,0.0512630716396909,-0.3624904996772915,7053,0.5583898393600533,0.780848688757404,0.4996455409045796,0.5000709018718095,3527,3526,0.0490469379254964,0.4925563589961718,-1.4359078532631722,47.61884276698672,0.0,6,1
mlp_baseline,4,0.0524996891617774,0.0360323004424572,0.3238959074613018,8864,41.66969843829378,52.253715398971345,0.4936823104693141,0.6284741917186614,4544,4320,0.7305477768998131,0.7824909747292419,-0.0387079947461472,-27.89222752926159,0.0,12,1
ar1_per_grid,4,0.0588281005620956,0.0382213555276393,0.1510741835478637,6309,26.710105005632048,35.373509635067585,0.3924552226977334,0.4473199092456041,926,5383,0.6570648600987684,0.7159613250911396,-0.0526922119144899,-30.687735027037977,0.0,12,1
factor_ar_var,4,0.0591032673111466,0.0386961610121598,0.1431139878833887,7024,25.677279939985596,33.482928818939435,0.3439635535307517,0.4980147475893363,529,6495,0.6425752105100192,0.7088553530751709,-0.0526922119144899,-31.76925432340421,0.0,12,1
persistence,4,0.0681668370962143,0.0408045426011085,-0.1398466160492351,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,12,1
garch_baseline,4,0.0685522599803071,0.0426098487327606,-0.1527725521454481,364,-3.685870353332351,-15.166416649625766,0.0906593406593406,0.0258082813386273,364,0,-0.0451010451758497,0.0906593406593406,-3.6858703533323505,52.69414654968572,0.0,12,1
mlp_baseline,3,0.049235813319683,0.0353770405054092,0.3167146365099452,6802,27.815104768833855,55.93131870728249,0.5455748309320788,0.6430327093968614,4677,2125,0.725657313787348,0.7691855336665686,-0.0320746975959735,-24.08238325747004,0.0,48,1
factor_ar_var,3,0.0537598540523934,0.0360239973365974,0.1853781450062833,4964,17.342858122221756,36.970475554638405,0.3372280419016922,0.4692758555492531,468,4496,0.6148420407008904,0.7280419016921837,-0.0334636206388516,-31.777094592814382,0.0,48,1
ar1_per_grid,3,0.0538030713796615,0.0357156582176685,0.184067816378503,4274,17.625089786103615,38.14395429851049,0.3961160505381376,0.4040461334845907,767,3507,0.6287477865206788,0.7360786148806738,-0.0334636206388516,-30.69582231208748,0.0,48,1
persistence,3,0.0621750243008136,0.0382851548492908,-0.0896117950982937,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,48,1
garch_baseline,3,0.0623865410482105,0.0391605094540358,-0.0970380977479286,1,0.0623149062700863,1.2885757359891552,0.0,9.453582907922102e-05,0,1,0.0027480900932324,1.0,0.0,26.347079528269703,0.0,48,1
mlp_baseline,3,0.0487095192074775,0.0346725769340992,0.3331412723334623,6555,27.805787161161305,56.28138709506218,0.5069412662090008,0.6196823596142939,3619,2936,0.7269699173230803,0.7903890160183067,-0.0320746975959735,-25.005380843716917,0.0,84,1
factor_ar_var,3,0.0539437946979346,0.0361331632759175,0.1821207604065494,4966,17.486706179862885,37.10809533920146,0.3380990737011679,0.4694649272074116,479,4487,0.6155218770458187,0.7289569069673781,-0.0334636206388516,-31.69438507670491,0.0,84,1
ar1_per_grid,3,0.0539689511060714,0.0358252860605716,0.1813577693308006,4282,17.7387730269276,38.162702660835265,0.399112564222326,0.4048024201172244,778,3504,0.6301341662556897,0.734936945352639,-0.0334636206388516,-30.568801864153,0.0,84,1
persistence,3,0.0623857080936431,0.0384204871952533,-0.0938969779236422,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,84,1
garch_baseline,3,0.0623907052752891,0.0384667212642962,-0.0940722101085913,0,0.0,0.0,0.0,0.0,0,0,0.0199274717876283,0.0,0.0,0.6238072240313743,0.5327541948180572,84,1
mlp_baseline,3,0.0492649339139461,0.0350926853716373,0.3234579154399224,6774,28.366171510283273,56.134571849667175,0.5206672571597284,0.6403857061826432,4024,2750,0.7266453797244429,0.7816651904340124,-0.0329311002743786,-24.67876367430664,0.0,168,1
factor_ar_var,3,0.0542919182624067,0.0363308334050856,0.1783451803282164,4976,17.785007779759155,37.02815982498906,0.3408360128617363,0.4704102854982038,529,4447,0.6163567209554922,0.7309083601286174,-0.0334636206388516,-31.930083525415583,0.0,168,1
ar1_per_grid,3,0.0543140806257724,0.0360296592116355,0.1776742296570891,4302,18.169444149367784,38.36715377451214,0.405625290562529,0.4066931366988088,838,3464,0.6311200611307672,0.7384937238493724,-0.0334636206388516,-30.716301678405316,0.0,168,1
persistence,3,0.0628403723239898,0.0387063734233379,-0.1007699321930735,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,,168,1
garch_baseline,3,0.1379495112014614,0.1009344359793468,-4.304682140735277,7052,-1.1383013410760685,-2.1980277934119816,0.4994327850255247,0.6666666666666666,3526,3526,0.0167142663493187,0.4985819625638117,-1.979673759086476,42.954940634493425,0.0,168,1
mlp_baseline,3,0.0490759834647178,0.0341001264750957,0.320192318878008,6478,26.18451698731893,53.39513444179787,0.4658845322630441,0.6124031007751938,2724,3754,0.7071894533338859,0.7789441185551096,-0.0445560854172963,-28.44850622070537,0.0,6,12
