section,group,horizon,common_rows,atm_column,lstm_model,baseline_model,dm_stat_overall_mse,dm_p_value_overall_mse,dm_stat_atm_mse,dm_p_value_atm_mse,model,family,region,num_columns,rmse,mae,r2,regime,regime_threshold_atm_iv,forecast_rmse,forecast_mae,forecast_r2,num_rows,num_trades,net_pnl,gross_pnl,hit_rate,turnover,sharpe_annualized,max_drawdown,long_trades,short_trades,signal_realized_corr,profit_factor,scenario,scenario_description,threshold,holding_period_bars,round_trip_cost_bps,net_pnl_compression_pct_vs_base,study,condition,test_rmse,test_mae,test_r2,variant,shape_projection_enabled,smoothness_penalty,pred_adjacent_abs_diff,pred_second_diff_abs,pred_second_diff_rms,multi_kink_fraction,avg_slope_sign_changes
diebold_mariano_tests,h1,1.0,10578.0,iv_mny_0p0,seq84_h1_l2_h256,mlp_seq84_h1,-26.317330220324283,0.0,-16.837815130990904,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diebold_mariano_tests,h12,12.0,10458.0,iv_mny_0p0,seq48_h12_l3_h256,mlp_seq48_h12,-11.903402714493463,0.0,-7.907782619344695,2.6645352591003757e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diebold_mariano_tests,h24,24.0,10494.0,iv_mny_0p0,seq84_h24_l3_h256,mlp_seq84_h24,-4.665334418001662,3.0811552387266516e-06,-8.699618148533832,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket_region_metrics,h1,,,,,,,,,,mlp_seq84_h1,baseline,atm,1.0,0.0426061789721652,0.0277146046982416,0.0532627494978152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket_region_metrics,h1,,,,,,,,,,seq84_h1_l2_h256,lstm,atm,1.0,0.0394696183441166,0.0235235408100775,0.1875247418661059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket_region_metrics,h1,,,,,,,,,,mlp_seq84_h1,baseline,call_otm,3.0,0.046498827637733,0.0314821824887502,-0.0328854780369864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket_region_metrics,h1,,,,,,,,,,seq84_h1_l2_h256,lstm,call_otm,3.0,0.0427433848995835,0.0266245005799458,0.1272175840757851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket_region_metrics,h1,,,,,,,,,,mlp_seq84_h1,baseline,put_otm,3.0,0.0526200535426903,0.0401823023462532,0.285379145501208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket_region_metrics,h1,,,,,,,,,,seq84_h1_l2_h256,lstm,put_otm,3.0,0.0510937880962722,0.038850706440663,0.3262336462736596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bucket_region_metrics,h12,,,,,,,,,,mlp_seq48_h12,baseline,atm,1.0,0.0414954971154247,0.0285505479301969,0.1040381457626127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
